"","data.Overall.life.expectancy.at.birth","data.Male.life.expectancy.at.birth","data.Female.life.expectancy.at.birth","data.Continent"
"79",76.8,75.5,78.2,"Africa"
"94",75.8,73,78.8,"Oceania"
"184",64.1,62,66.3,"Africa"
"28",81.2,79.5,83,"Europe"
"98",75.6,73.3,78,"Asia"
"113",74.9,72.5,77.4,"Asia"
"76",77.1,73.5,80.9,"Europe"
"140",72.7,70,75.5,"Oceania"
"188",63.2,60.7,65.8,"Africa"
"209",55.5,53.4,57.6,"Africa"
"211",55.4,54,56.9,"Africa"
"12",82.4,79.3,85.8,"Asia"
"222",50.6,48.6,52.7,"Africa"
"26",81.3,79.2,83.6,"Europe"
"73",77.2,74.5,80,"South America"
"154",70.7,70.1,71.3,"Asia"
"137",72.9,69.9,75.9,"South America"
"192",62.2,59.8,64.7,"Africa"
"157",70.1,69.1,71.1,"Asia"
"1",89.5,85.6,93.5,"Europe"
"203",58.5,57.1,59.9,"Africa"
"184.1",64.1,62,66.3,"Africa"
"27",81.2,78.5,84,"North America"
"64",78,75.3,80.8,"North America"
"208",55.8,53.9,57.7,"Africa"
"147",72.1,69.8,74.5,"Africa"
"7",82.9,80.3,85.8,"Asia"
"206",57.3,55.8,58.9,"Africa"
"222.1",50.6,48.6,52.7,"Africa"
"206.1",57.3,55.8,58.9,"Africa"
"81",76.8,73.8,79.9,"South America"
"86",76.5,74.7,78.3,"Africa"
"82",76.8,73.3,80.4,"Asia"
"107",75.3,72.7,78.1,"Oceania"
"139",72.7,71.4,74.2,"Africa"
"46",79.4,77,82,"Europe"
"15",82.2,79.6,85,"Europe"
"174",65.9,64.4,67.4,"Africa"
"85",76.5,74.4,78.8,"North America"
"140.1",72.7,70,75.5,"Oceania"
"130",73.4,71.8,75.1,"Oceania"
"18",81.9,79.4,84.5,"Europe"
"176",65,62.3,69.7,"Africa"
"150",71.1,69.5,72.8,"North America"
"155",70.4,66.6,74.5,"Asia"
"30",81,78.4,83.7,"Europe"
"73.1",77.2,74.5,80,"South America"
"39",80.2,77.4,83.2,"Europe"
"89",76.2,74.7,77.8,"Oceania"
"31",80.9,77.9,84,"Europe"
"184.2",64.1,62,66.3,"Africa"
"103",75.4,72.4,78.5,"North America"
"206.2",57.3,55.8,58.9,"Africa"
"47",79.4,76.6,82.5,"Europe"
"170",66.6,64.2,69.2,"Asia"
"25",81.3,78.1,84.5,"North America"
"72",77.2,74.9,79.6,"Europe"
"173",66.2,63.7,68.8,"Oceania"
"104",75.3,73,77.7,"North America"
"110",75,73,77.1,"Asia"
"113.1",74.9,72.5,77.4,"Asia"
"125",73.8,70.2,77.5,"South America"
"4",84.5,81.6,87.6,"Asia"
"126",73.8,70.7,77,"Asia"
"212",54.5,56.3,52.6,"Africa"
"75",77.1,74,80.4,"South America"
"59",78.3,75.7,81.2,"Europe"
"186",63.8,61.2,66.4,"North America"
"104.1",75.3,73,77.7,"North America"
"48",79.4,75.8,83.1,"North America"
"128",73.7,70.8,76.8,"Oceania"
"70",77.5,74.8,80.2,"Asia"
"20",81.8,78.7,85.1,"Europe"
"169",67.1,63,70.5,"Oceania"
"147.1",72.1,69.8,74.5,"Africa"
"90",76.1,74,78.4,"Africa"
"36",80.5,78.2,83,"North America"
"136",72.9,70.8,75,"Oceania"
"205",58,57.3,58.7,"Africa"
"76.1",77.1,73.5,80.9,"Europe"
"106",75.3,73.2,77.4,"Asia"
"100",75.5,73.5,77.5,"Asia"
"69",77.6,73.7,81.7,"Europe"
"158",70.1,67.1,73.3,"Asia"
"8",82.8,80.6,85.1,"Europe"
"1.1",89.5,85.6,93.5,"Europe"
"192.1",62.2,59.8,64.7,"Africa"
"179",64.9,62.5,67.3,"Africa"
"156",70.3,64.3,76.4,"Asia"
"183",64.2,63.1,65.4,"Africa"
"23",81.5,78.9,84.3,"Europe"
"117",74.7,71.5,78,"Asia"
"105",75.3,73.3,77.4,"North America"
"128.1",73.7,70.8,76.8,"Oceania"
"62",78.1,75.8,80.6,"Europe"
"160",69.2,66.4,72.1,"South America"
"3",85,82.3,87.8,"Asia"
"49",79.3,76.1,82.8,"Europe"
"196",61.2,59.2,63.2,"Africa"
"29",81.2,79.1,83.3,"Oceania"
"17",81.9,79.2,84.6,"North America"
"17.1",81.9,79.2,84.6,"North America"
"19",81.9,79.7,84.6,"Europe"
"166",67.7,65.8,69.8,"Asia"
"101",75.5,73.5,77.9,"Asia"
"38",80.4,78,82.8,"Europe"
"16",82.1,80.2,84.1,"Europe"
"75.1",77.1,74,80.4,"South America"
"60",78.2,74.6,82,"Europe"
"125.1",73.8,70.2,77.5,"South America"
"168",67.2,65,69.5,"Oceania"
"106.1",75.3,73.2,77.4,"Asia"
"190",63,60.7,65.4,"Africa"
"171",66.6,64.1,69.1,"Africa"
"117.1",74.7,71.5,78,"Asia"
"110.1",75,73,77.1,"Asia"
"93",75.9,73.1,78.8,"North America"
"78",76.9,73.8,80.1,"Africa"
"97",75.7,73.3,78.2,"North America"
"5",83.3,80.7,86.1,"Europe"
"106.2",75.3,73.2,77.4,"Asia"
"66",77.8,75,80.7,"North America"
"87",76.2,72.1,80.6,"Europe"
"63",78,76.6,79.4,"Asia"
"93.1",75.9,73.1,78.8,"North America"
"126.1",73.8,70.7,77,"Asia"
"94.1",75.8,73,78.8,"Oceania"
"150.1",71.1,69.5,72.8,"North America"
"34",80.7,78.5,83,"Europe"
"189",63.1,61.6,64.6,"Africa"
"69.1",77.6,73.7,81.7,"Europe"
"93.2",75.9,73.1,78.8,"North America"
"172",66.5,64.3,68.8,"Oceania"
"97.1",75.7,73.3,78.2,"North America"
"149",71.4,69.8,73.1,"Asia"
"175",65.5,63.4,67.8,"Asia"
"29.1",81.2,79.1,83.3,"Oceania"
"188.1",63.2,60.7,65.8,"Africa"
"71",77.2,74.8,79.6,"Asia"
"56",78.6,75.9,81.4,"South America"
"177",64.9,62.4,67.5,"Africa"
"184.3",64.1,62,66.3,"Africa"
"191",63,60.7,65.4,"Africa"
"192.2",62.2,59.8,64.7,"Africa"
"198",60.5,58.8,62.3,"Africa"
"58",78.6,75.8,81.6,"South America"
"59.1",78.3,75.7,81.2,"Europe"
"164",68.4,65.4,71.5,"South America"
"208.1",55.8,53.9,57.7,"Africa"
"114",74.8,72.5,77.3,"Europe"
"103.1",75.4,72.4,78.5,"North America"
"127",73.7,71.7,75.9,"South America"
"211.1",55.4,54,56.9,"Africa"
"76.2",77.1,73.5,80.9,"Europe"
"162",68.7,67.2,70.4,"North America"
"109",75,72.2,78,"Asia"
"42",79.8,77.1,82.7,"North America"
"193",62.2,60.8,63.6,"Africa"
"103.2",75.4,72.4,78.5,"North America"
"184.4",64.1,62,66.3,"Africa"
"20.1",81.8,78.7,85.1,"Europe"
"126.2",73.8,70.7,77,"Asia"
"39.1",80.2,77.4,83.2,"Europe"
"37",80.4,77.8,83.1,"Europe"
"56.1",78.6,75.9,81.4,"South America"
"218",52.3,51,53.7,"Africa"
"126.3",73.8,70.7,77,"Asia"
"167",67.7,64.6,71,"Asia"
"210",55.5,54.3,56.8,"Africa"
"36.1",80.5,78.2,83,"North America"
"98.1",75.6,73.3,78,"Asia"
"84",76.7,71.9,81.7,"Europe"
"58.1",78.6,75.8,81.6,"South America"
"41",80,77,83.2,"North America"
"130.1",73.4,71.8,75.1,"Oceania"
"135",73.1,69.9,76.5,"Oceania"
"215",53,52.9,53.1,"Africa"
"188.2",63.2,60.7,65.8,"Africa"
